"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"75","RT @agikun: *painting nonstop for almost 20 hours*
That Endgame trailer is killing me. 
I need to redraw that scene or else I would be in p…",FALSE,0,NA,2018-12-10 09:09:36,FALSE,NA,"1072055721670443008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elsascuriosity",1852,TRUE,FALSE,NA,NA
"76","Avengers Legacy #AvengersEndGame https://t.co/7d63TpT6Kx",FALSE,1,NA,2018-12-10 09:09:29,FALSE,NA,"1072055693455355904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FCruz30",0,FALSE,FALSE,NA,NA
"77","RT @ComicBookCast: Watch out Thanos 🤣 #AvengersEndgame https://t.co/sTJOjgBqKm",FALSE,0,NA,2018-12-10 09:09:26,FALSE,NA,"1072055679433797632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GuGuz",306,TRUE,FALSE,NA,NA
"78","RT @ComicBook: #AvengersEndgame fans are begging @NASA to rescue Tony Stark from space:
https://t.co/BQyZ655Rj2 https://t.co/8lq0NMOkLo",FALSE,0,NA,2018-12-10 09:09:17,FALSE,NA,"1072055641936560128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bellagrace10__",77,TRUE,FALSE,NA,NA
"79","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:09:07,FALSE,NA,"1072055600639438850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chamomilechay",2352,TRUE,FALSE,NA,NA
"80","RT @MCU_Tweets: He still has a date... #AvengersEndgame https://t.co/eeKQVyqgvS",FALSE,0,NA,2018-12-10 09:08:52,FALSE,NA,"1072055535191515136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bernaldanicaaa",1684,TRUE,FALSE,NA,NA
"81","RT @artxtom: They deserve happiness.
#AvengersEndGame https://t.co/M7mGrAz8fG",FALSE,0,NA,2018-12-10 09:08:47,FALSE,NA,"1072055517500071936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","roarilang",261,TRUE,FALSE,NA,NA
"82","RT @artxtom: Part of the journey is the end.
#AvengersEndgame https://t.co/M1VhT5vt6T",FALSE,0,NA,2018-12-10 09:08:41,FALSE,NA,"1072055490677489667",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","roarilang",82,TRUE,FALSE,NA,NA
"83","What if Ant-Man is actually still stuck in the quantum realm and the Scott Lang that turns up outside the Avengers… https://t.co/wQvDQbdZi5",FALSE,0,NA,2018-12-10 09:08:34,TRUE,NA,"1072055459991969792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_AC1__",0,FALSE,FALSE,NA,NA
"84","RT @itsjustanx: WORLD’S GREATEST GRANDMA IS SAVING THE DAY #AvengersEndgame https://t.co/VNkXJu2hXO",FALSE,0,NA,2018-12-10 09:08:29,FALSE,NA,"1072055442023473152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rinokoyoyo",1030,TRUE,FALSE,NA,NA
"85","RT @Avengers: To the greatest fans in the world, thank you for being there from the beginning til the endgame and making Marvel Studios’ #A…",FALSE,0,NA,2018-12-10 09:08:26,FALSE,NA,"1072055429642010624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdityaGoyal181",17823,TRUE,FALSE,NA,NA
"86","RT @Marvel: ICYMI: See the new trailer and poster for Marvel Studios' #AvengersEndgame, coming to theaters April 26, 2019: https://t.co/QZY…",FALSE,0,NA,2018-12-10 09:08:23,FALSE,NA,"1072055415142277120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fandom_delena",1447,TRUE,FALSE,NA,NA
"87","RT @harleivy: ""i wouldn't be alive, unless it was for a reason.""

tony stark is the heart and soul of the marvel cinematic universe. he's r…",FALSE,0,NA,2018-12-10 09:08:22,FALSE,NA,"1072055412441186304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peraltiaigo",4235,TRUE,FALSE,NA,NA
"88","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:08:19,FALSE,NA,"1072055400307023872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","catsilver_",2352,TRUE,FALSE,NA,NA
"89","RT @RenataKonkoly: Tony Stark should not worry for a second, help is on the way. @elonmusk @SpaceX #AvengersEndgame https://t.co/DImN1fzcuN",FALSE,0,NA,2018-12-10 09:08:15,FALSE,NA,"1072055382221045760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaneDolla23",1407,TRUE,FALSE,NA,NA
"90","RT @InfinityWarFans: Confirmed. #AvengersEndgame https://t.co/FSqBIY9B9c",FALSE,0,NA,2018-12-10 09:08:13,FALSE,NA,"1072055372532183040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evikomkom",410,TRUE,FALSE,NA,NA
